STATEFIPS,STATE,ZIPCODE,AGI_STUB,No_of_Returns,AGI,Returns__Tot_Income,Tot_Income,Returns_Sal_Wages,Sal_Wages_Amt
6,CA,93111,5,9310.0,1122441.0,9310.0,1142008.0,7000.0,643761.0
6,CA,93117,5,18890.0,1513005.0,18890.0,1535277.0,15900.0,1047186.0
6,CA,93202,1,1650.0,61505.0,1650.0,61830.0001,1470.0,51442.0
6,CA,93203,2,8060.0,256557.0,8060.0,257764.0,7710.0,220648.0
6,CA,93204,1,3750.0,121406.0,3730.0,122471.0,3520.0,107056.0
6,CA,93205,1,660.0,23096.0,660.0,23238.0002,470.0,14624.0
6,CA,93206,1,860.0,42361.0,860.0,42935.0002,770.0,27745.0
6,CA,93210,2,5670.0,294607.0,5660.0,296351.0,5060.0,238088.0
6,CA,93212,1,5390.0,232868.0,5360.0,234406.0,4830.0,182075.0
6,CA,93215,3,18540.0,694881.0,18540.0,699755.0,17580.0,584807.0
6,CA,93219,1,3830.0,110896.0,3830.0,111582.0001,3690.0,94245.0
6,CA,93221,2,6040.0,398564.0,6040.0,404695.0,5080.0,266035.0
6,CA,93223,1,4220.0,140543.0,4220.0,141233.0,3920.0,123073.0
6,CA,93224,1,140.0,9029.0,140.0,9029.0,110.0,6469.0
6,CA,93225,1,2100.0,121444.0,2100.0,122961.0,1590.0,85802.0
6,CA,93230,5,27800.0,1590251.0,27800.0,1606734.0,24250.0,1209994.0
6,CA,93235,1,1750.0,58658.0,1750.0,59062.0001,1610.0,48734.0
6,CA,93238,1,710.0,45835.0,710.0,46418.0002,440.0,21755.0
6,CA,93239,1,540.0,17162.0,540.0,17306.0002,510.0,15668.0
6,CA,93240,1,2050.0,94548.0,2050.0,95465.0001,1470.0,63876.0
6,CA,93241,1,6240.0,186922.0,6240.0,187559.0001,5950.0,164997.0
6,CA,93242,1,1330.0,73010.0,1330.0,73811.0002,1170.0,49423.0
6,CA,93244,1,210.0,14834.0,210.0,15040.0002,160.0,9352.0
6,CA,93245,4,15770.0,916222.0,15770.0,923990.0,13630.0,681998.0
6,CA,93247,2,7060.0,267418.0,7060.0,269823.0,6450.0,208249.0
6,CA,93249,1,930.0,33466.0,930.0,33596.0001,900.0,32160.0
6,CA,93250,1,5660.0,197552.0,5660.0,198611.0001,5430.0,166705.0
6,CA,93252,1,500.0,23364.0,500.0,23454.0003,410.0,17470.0
6,CA,93254,1,280.0,12037.0,280.0,12085.0002,230.0,9793.0
6,CA,93255,1,170.0,7341.0,170.0,7376.0001,100.0,3342.0
6,CA,93256,1,1890.0,62698.0,1890.0,63153.0001,1760.0,52712.0
